index,label,p_values,p_values_adjusted
78,hexose-6-phosphate,0.536449315787572,0.877882453684641
79,hexitol,0.977671298290454,0.990835532380591
80,hexadecylglycerol NIST,0.109414394322294,0.875125362417616
81,heptadecanoic acid,0.151023848272504,0.875125362417616
82,guanosine,0.284110052809774,0.875125362417616
83,glycolic acid,0.706364595636837,0.912532314771138
84,glycine,0.675247165092503,0.912532314771138
85,glycerol-alpha-phosphate,0.494775138819432,0.875125362417616
86,glycerol-3-galactoside,0.596642476454017,0.891950368840349
87,glycerol,0.182478583048136,0.875125362417616
88,glyceric acid,0.295074007825566,0.875125362417616
89,glutathione,0.393071850397148,0.875125362417616
90,glutaric acid,0.178033746610577,0.875125362417616
91,glutamine,0.187013808103598,0.875125362417616
92,glutamate,0.12366479983123,0.875125362417616
93,glucose-6-phosphate,0.424205491789954,0.875125362417616
94,glucose-1-phosphate,0.897653872037228,0.978686014576669
95,glucose,0.936159509498612,0.982724618580708
96,galactonic acid,0.309909385945447,0.875125362417616
97,galactitol,0.359607141038585,0.875125362417616
98,fumaric acid,0.498925637345196,0.875125362417616
99,fucose,0.990055809365887,0.990835532380591
100,fructose-6-phosphate,0.149402589260278,0.875125362417616
101,fructose,0.273146766346613,0.875125362417616
102,ethanol phosphate NIST,0.358152350317541,0.875125362417616
103,erythronic acid lactone,0.75222258379783,0.912532314771138
104,erythritol,0.382544179142975,0.875125362417616
105,docosahexaenoic acid,0.419429418773461,0.875125362417616
106,dihydrocholesterol,0.918100139698456,0.9808273190542
107,dehydroascorbic acid,0.211343980816135,0.875125362417616
108,cysteine-glycine,0.229445471903539,0.875125362417616
109,cysteine,0.365909760590476,0.875125362417616
110,creatinine,0.368702729621893,0.875125362417616
111,conduritol-beta-epoxide,0.627960210002617,0.911157951768503
112,citrulline,0.353900208900423,0.875125362417616
113,citric acid,0.147527103502543,0.875125362417616
114,cis-gondoic acid,0.39412364446939,0.875125362417616
115,cholesterol,0.440194063512514,0.875125362417616
116,capric acid,0.0106461797978436,0.649020198526132
117,beta-sitosterol,0.238144581843746,0.875125362417616
118,beta-gentiobiose,0.154995791780579,0.875125362417616
119,beta-alanine,0.718050630520739,0.912532314771138
120,benzoic acid,0.0731085690758649,0.875125362417616
121,behenic acid,0.265522118553197,0.875125362417616
122,aspartic acid,0.262611404209158,0.875125362417616
123,ascorbic acid,0.775502125810275,0.917225642067812
124,arachidonic acid,0.251938664090696,0.875125362417616
125,arachidic acid,0.124995743539284,0.875125362417616
126,aminomalonate,0.60400271354009,0.893924016039333
127,alpha-ketoglutarate,0.504523911469612,0.875125362417616
128,alanine,0.720554148594149,0.912532314771138
129,adipic acid,0.496445656591149,0.875125362417616
130,adenosine-5-monophosphate,0.528578731931005,0.877882453684641
131,adenosine,0.434012293227481,0.875125362417616
132,adenine,0.68001927437774,0.912532314771138
133,5-methoxytryptamine,0.495098201972314,0.875125362417616
134,5'-deoxy-5'-methylthioadenosine,0.879394445474872,0.978574270152489
135,4-hydroxybutyric acid,0.06509311872629,0.875125362417616
136,3-hydroxybutyric acid,0.345505779446241,0.875125362417616
137,"3,6-anhydro-D-galactose",0.874541913883023,0.978574270152489
138,2-picolinic acid,0.115652934294207,0.875125362417616
139,2-monopalmitin,0.4678315850059,0.875125362417616
140,2-monoolein,0.220737904390697,0.875125362417616
141,2-ketoisocaproic acid,0.36186108173837,0.875125362417616
142,2-hydroxyglutaric acid,0.288923127776276,0.875125362417616
143,"2,5-dihydroxypyrazine NIST",0.17705584830491,0.875125362417616
144,1-monostearin,0.368353838732182,0.875125362417616
145,1-monopalmitin,0.00235514851304674,0.348561979930918
146,1-kestose,0.677375191257698,0.912532314771138
147,"1,5-anhydroglucitol",0.128923451121125,0.875125362417616
148,"1,2,4-benzenetriol",0.520128448228696,0.875125362417616
